"page","region","type","texte_ou_label","href_ou_action","target","rel","name","input_type","required","id","classes","aria","visible_1440","visible_390","details"
"https://www.syntheticswarm.ai/","autre","ancre","Skip to content","#main","","","","","","","skip-link","","oui","oui",""
"https://www.syntheticswarm.ai/","header","lien_interne","Synthetic Swarm","/","","","","","","","logo","","oui","oui",""
"https://www.syntheticswarm.ai/","header","lien_interne","Our solution","/our-solution","","","","","","","","","oui","non",""
"https://www.syntheticswarm.ai/","header","lien_interne","Pricing","/pricing","","","","","","","","","oui","non",""
"https://www.syntheticswarm.ai/","header","button+disclosure","About","","","","","button","","","nav-link-dropdown shared-chevron-trigger","aria-expanded=false aria-controls=header-about-options","oui","non",""
"https://www.syntheticswarm.ai/","header","lien_interne","Who we are","/about","","","","","","","","","non","non",""
"https://www.syntheticswarm.ai/","header","lien_interne","Careers","/careers","","","","","","","","","non","non",""
"https://www.syntheticswarm.ai/","header","pseudo_lien_desactive","Media","","","","","","","","nav-disabled","role=link aria-disabled=true","non","non",""
"https://www.syntheticswarm.ai/","header","button+disclosure","Choose language","","","","","button","","","language-trigger shared-chevron-trigger","aria-expanded=false aria-controls=header-language-options aria-label=Choose language","oui","non",""
"https://www.syntheticswarm.ai/","header","lien_interne+langue","EN","/","","","","","","","","aria-current=true","non","non",""
"https://www.syntheticswarm.ai/","header","lien_interne+langue","FR","/index-fr","","","","","","","","","non","non",""
"https://www.syntheticswarm.ai/","header","lien_externe","Log in","https://app.syntheticswarm.ai/ui/","_blank","noopener noreferrer","","","","","btn-login header-action","","oui","non",""
"https://www.syntheticswarm.ai/","header","button+disclosure+demo","Demo","","","","","button","","","btn-get-started header-action","aria-expanded=false aria-controls=header-demo-options","oui","non",""
"https://www.syntheticswarm.ai/","header","lien_externe","AxelCEO↗","https://calendar.app.google/91k1Mpontca7NGea6","_blank","noopener noreferrer","","","","","demo-booking-person","","non","non",""
"https://www.syntheticswarm.ai/","header","lien_externe","IlanCTO↗","https://calendar.app.google/91k1Mpontca7NGea6","_blank","noopener noreferrer","","","","","demo-booking-person","","non","non",""
"https://www.syntheticswarm.ai/","header","button","Open menu","","","","","button","","","mobile-menu-toggle","aria-label=Open menu aria-controls=mobile-menu aria-expanded=false","non","oui",""
"https://www.syntheticswarm.ai/","main","lien_externe+demo","Book a demo","https://calendar.app.google/91k1Mpontca7NGea6","_blank","noopener noreferrer","","","","","btn-get-started","","oui","oui",""
"https://www.syntheticswarm.ai/","main","lien_interne","Discover our solution","/our-solution","","","","","","","page-button page-button--secondary","","oui","oui",""
"https://www.syntheticswarm.ai/","main","input_checkbox","Pause scrolling","","","","","checkbox","","","","aria-label=Pause scrolling","oui","oui",""
"https://www.syntheticswarm.ai/","main","button+prospect","Camille R. Sep 15 Architecture firm First hire","","","","","button","","","prospect-choice","aria-pressed=true aria-controls=profile-camille","oui","oui",""
"https://www.syntheticswarm.ai/","main","button+prospect","Thomas B. Sep 14 Dental practice Conversion to SELARL","","","","","button","","","prospect-choice","aria-pressed=false aria-controls=profile-thomas","oui","oui",""
"https://www.syntheticswarm.ai/","main","button+prospect","Sonia M. Sep 13 Pharmacy New partner","","","","","button","","","prospect-choice","aria-pressed=false aria-controls=profile-sonia","oui","oui",""
"https://www.syntheticswarm.ai/","main","button+prospect","Julien D. Sep 12 Construction company Operations resumed","","","","","button","","","prospect-choice","aria-pressed=false aria-controls=profile-julien","oui","oui",""
"https://www.syntheticswarm.ai/","main","button+prospect","Élodie P. Sep 11 Accounting firm Holding company created","","","","","button","","","prospect-choice","aria-pressed=false aria-controls=profile-elodie","oui","oui",""
"https://www.syntheticswarm.ai/","main","button+prospect","Marc L. Sep 10 Law firm Ownership transfer initiated","","","","","button","","","prospect-choice","aria-pressed=false aria-controls=profile-marc","oui","oui",""
"https://www.syntheticswarm.ai/","main","button+prospect","Sarah V. Sep 9 Veterinary clinic New establishment","","","","","button","","","prospect-choice","aria-pressed=false aria-controls=profile-sarah","oui","oui",""
"https://www.syntheticswarm.ai/","main","button+prospect","Nicolas G. Sep 8 Auto repair shop New company leader","","","","","button","","","prospect-choice","aria-pressed=false aria-controls=profile-nicolas","oui","oui",""
"https://www.syntheticswarm.ai/","main","button+prospect","Claire T. Sep 7 Real estate agency SCI created","","","","","button","","","prospect-choice","aria-pressed=false aria-controls=profile-claire","oui","oui",""
"https://www.syntheticswarm.ai/","main","button+prospect","Antoine F. Sep 6 Specialist retailer Growth + hiring","","","","","button","","","prospect-choice","aria-pressed=false aria-controls=profile-antoine","oui","oui",""
"https://www.syntheticswarm.ai/","main","lien_externe","LinkedIn ↗","https://www.linkedin.com/","_blank","noopener noreferrer","","","","","","","oui","oui",""
"https://www.syntheticswarm.ai/","main","lien_externe","LinkedIn ↗","https://www.linkedin.com/","_blank","noopener noreferrer","","","","","","","non","non",""
"https://www.syntheticswarm.ai/","main","lien_externe","LinkedIn ↗","https://www.linkedin.com/","_blank","noopener noreferrer","","","","","","","non","non",""
"https://www.syntheticswarm.ai/","main","lien_externe","LinkedIn ↗","https://www.linkedin.com/","_blank","noopener noreferrer","","","","","","","non","non",""
"https://www.syntheticswarm.ai/","main","lien_externe","LinkedIn ↗","https://www.linkedin.com/","_blank","noopener noreferrer","","","","","","","non","non",""
"https://www.syntheticswarm.ai/","main","lien_externe","LinkedIn ↗","https://www.linkedin.com/","_blank","noopener noreferrer","","","","","","","non","non",""
"https://www.syntheticswarm.ai/","main","lien_externe","LinkedIn ↗","https://www.linkedin.com/","_blank","noopener noreferrer","","","","","","","non","non",""
"https://www.syntheticswarm.ai/","main","lien_externe","LinkedIn ↗","https://www.linkedin.com/","_blank","noopener noreferrer","","","","","","","non","non",""
"https://www.syntheticswarm.ai/","main","lien_externe","LinkedIn ↗","https://www.linkedin.com/","_blank","noopener noreferrer","","","","","","","non","non",""
"https://www.syntheticswarm.ai/","main","lien_externe","LinkedIn ↗","https://www.linkedin.com/","_blank","noopener noreferrer","","","","","","","non","non",""
"https://www.syntheticswarm.ai/","main","lien_interne","Learn more →","/our-solution","","","","","","","prospect-preview-link","","oui","oui",""
"https://www.syntheticswarm.ai/","main","input_range+curseur_volume","Leads per week","","","","","range","","","pricing-range","aria-valuetext=50 leads per week aria-label=Leads per week","oui","oui","min=0 max=5 value=2 step=1"
