fichier,taille_octets,url_prod,code_http_prod,content_type_prod,identique_a_la_prod,nb_pages_referencantes,pages_referencantes,autres_fichiers_referencants
.claude/launch.json,260,https://www.syntheticswarm.ai/.claude/launch.json,200,application/json; charset=utf-8,identique,0,,
.gitignore,172,https://www.syntheticswarm.ai/.gitignore,404,text/plain; charset=utf-8,,0,,
BRAND.md,23148,https://www.syntheticswarm.ai/BRAND.md,200,text/markdown; charset=utf-8,identique,0,,docs/production-implementation-audit.md
CONTACT_SETUP.md,1294,https://www.syntheticswarm.ai/CONTACT_SETUP.md,200,text/markdown; charset=utf-8,identique,0,,
LEGAL_AUDIT.md,1950,https://www.syntheticswarm.ai/LEGAL_AUDIT.md,200,text/markdown; charset=utf-8,identique,0,,
README.md,5718,https://www.syntheticswarm.ai/README.md,404,text/plain; charset=utf-8,,0,,docs/production-implementation-audit.md
a-propos.html,12317,https://www.syntheticswarm.ai/a-propos,200,text/html; charset=utf-8,identique,0,,docs/motion-qa.md;docs/production-implementation-audit.md;tests/site.test.cjs
about.css,5234,https://www.syntheticswarm.ai/about.css,200,text/css; charset=utf-8,identique,2,a-propos.html;about.html,
about.html,11806,https://www.syntheticswarm.ai/about,200,text/html; charset=utf-8,identique,0,,docs/motion-qa.md;docs/production-implementation-audit.md;tests/site.test.cjs
api/contact.js,2888,https://www.syntheticswarm.ai/api/contact.js,308,text/plain,,2,contact-fr.html;contact.html,tests/contact.test.cjs
api/newsletter.js,2294,https://www.syntheticswarm.ai/api/newsletter.js,308,text/plain,,26,a-propos.html;about.html;careers.html;clients.html;conditions.html;confidentialite.html;contact-fr.html;contact.html;customers.html;faq-fr.html;faq.html;index-fr.html;index.html;legal-notice.html;media.html;medias.html;mentions-legales.html;notre-solution.html;opposition.html;opt-out.html;our-solution.html;pricing.html;privacy.html;recrutement.html;tarifs.html;terms.html,scripts/site_layout.py;tests/newsletter.test.cjs
assets/40612c4abf743aacd69ec8b9755a5d2e.png,598335,https://www.syntheticswarm.ai/assets/40612c4abf743aacd69ec8b9755a5d2e.png,200,image/png,identique,0,,
assets/Louis-adam.jpeg,45633,https://www.syntheticswarm.ai/assets/Louis-adam.jpeg,200,image/jpeg,identique,0,,
assets/customers/README.md,284,https://www.syntheticswarm.ai/assets/customers/README.md,200,text/markdown; charset=utf-8,identique,0,,
assets/customers/illustrative-claire.jpg,21645,https://www.syntheticswarm.ai/assets/customers/illustrative-claire.jpg,200,image/jpeg,identique,2,index-fr.html;index.html,
assets/customers/illustrative-sonia.jpg,21257,https://www.syntheticswarm.ai/assets/customers/illustrative-sonia.jpg,200,image/jpeg,identique,2,index-fr.html;index.html,
assets/customers/illustrative-thomas.jpg,19417,https://www.syntheticswarm.ai/assets/customers/illustrative-thomas.jpg,200,image/jpeg,identique,2,index-fr.html;index.html,
assets/data/README.md,1614,https://www.syntheticswarm.ai/assets/data/README.md,200,text/markdown; charset=utf-8,identique,0,,README.md
assets/data/customers.json,419,https://www.syntheticswarm.ai/assets/data/customers.json,200,application/json; charset=utf-8,identique,0,,BRAND.md;README.md;customers.js;tests/customers.test.cjs
assets/decor-1.png,177883,https://www.syntheticswarm.ai/assets/decor-1.png,200,image/png,identique,0,,
