"page","domaine_tiers","ressource","type_ressource","moment","initiateur"
"https://www.syntheticswarm.ai/","fonts.googleapis.com","https://fonts.googleapis.com/css2?family=DM+Serif+Display:ital@1&family=Inter:wght@400;500;600;700;800&display=swap","stylesheet","avant_interaction","https://www.syntheticswarm.ai/"
"https://www.syntheticswarm.ai/","fonts.gstatic.com","https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7.woff2","font","avant_interaction","https://www.syntheticswarm.ai/"
"https://www.syntheticswarm.ai/","fonts.gstatic.com","https://fonts.gstatic.com/s/dmserifdisplay/v17/-nFhOHM81r4j6k0gjAW3mujVU2B2G_VB0PD2.woff2","font","avant_interaction","https://www.syntheticswarm.ai/"
"https://www.syntheticswarm.ai/index-fr","fonts.googleapis.com","https://fonts.googleapis.com/css2?family=DM+Serif+Display:ital@1&family=Inter:wght@400;500;600;700;800&display=swap","stylesheet","avant_interaction","https://www.syntheticswarm.ai/index-fr"
"https://www.syntheticswarm.ai/index-fr","fonts.gstatic.com","https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7.woff2","font","avant_interaction","https://www.syntheticswarm.ai/index-fr"
"https://www.syntheticswarm.ai/index-fr","fonts.gstatic.com","https://fonts.gstatic.com/s/dmserifdisplay/v17/-nFhOHM81r4j6k0gjAW3mujVU2B2G_VB0PD2.woff2","font","avant_interaction","https://www.syntheticswarm.ai/index-fr"
"https://www.syntheticswarm.ai/our-solution","fonts.googleapis.com","https://fonts.googleapis.com/css2?family=DM+Serif+Display:ital@1&family=Inter:wght@400;500;600;700;800&display=swap","stylesheet","avant_interaction","https://www.syntheticswarm.ai/our-solution"
"https://www.syntheticswarm.ai/our-solution","fonts.gstatic.com","https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7.woff2","font","avant_interaction","https://www.syntheticswarm.ai/our-solution"
"https://www.syntheticswarm.ai/our-solution","fonts.gstatic.com","https://fonts.gstatic.com/s/dmserifdisplay/v17/-nFhOHM81r4j6k0gjAW3mujVU2B2G_VB0PD2.woff2","font","avant_interaction","https://www.syntheticswarm.ai/our-solution"
"https://www.syntheticswarm.ai/notre-solution","fonts.googleapis.com","https://fonts.googleapis.com/css2?family=DM+Serif+Display:ital@1&family=Inter:wght@400;500;600;700;800&display=swap","stylesheet","avant_interaction","https://www.syntheticswarm.ai/notre-solution"
"https://www.syntheticswarm.ai/notre-solution","fonts.gstatic.com","https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7.woff2","font","avant_interaction","https://www.syntheticswarm.ai/notre-solution"
"https://www.syntheticswarm.ai/notre-solution","fonts.gstatic.com","https://fonts.gstatic.com/s/dmserifdisplay/v17/-nFhOHM81r4j6k0gjAW3mujVU2B2G_VB0PD2.woff2","font","avant_interaction","https://www.syntheticswarm.ai/notre-solution"
"https://www.syntheticswarm.ai/pricing","fonts.googleapis.com","https://fonts.googleapis.com/css2?family=DM+Serif+Display:ital@1&family=Inter:wght@400;500;600;700;800&display=swap","stylesheet","avant_interaction","https://www.syntheticswarm.ai/pricing"
"https://www.syntheticswarm.ai/pricing","fonts.gstatic.com","https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7.woff2","font","avant_interaction","https://www.syntheticswarm.ai/pricing"
