ff;slug;n_passes;perf;a11y;bp;seo;fcp_ms;lcp_ms;cls;tbt_ms;tti_ms;si_ms;ttfb_ms;benchmark_index
mobile;home-en;3;46;96;93;100;3305.062;15336.186;0;880.113;15403.686;5481.671;53.29;1205
mobile;index-fr;2;53.5;96;93;96;2802.317;2802.317;0.002;6025.324;10113.527;14399.47;178.362;883
mobile;our-solution;3;57;97;96;100;2635.392;2787.392;0.021;1274.043;4850.246;7984.106;554.246;944
mobile;notre-solution;3;67;97;96;100;3034.114;8211.495;0.02;0;8211.495;4685.276;214.006;1268
mobile;pricing;3;81;95;93;100;3107.699;3514.977;0;0;3514.977;4952.854;79.673;1399
mobile;tarifs;3;81;95;93;100;2901.439;2949.627;0;217;3513.774;4624.041;60.566;1519
mobile;faq;3;79;100;96;100;2472.898;2606.474;0;667.755;3723.652;4454.289;52.927;1386
mobile;faq-fr;3;82;100;96;100;2871.185;3698.579;0;0;3743.579;4608.249;80.313;784
mobile;about;3;71;100;96;100;2816.828;3867.964;0.018;563.799;4040.326;4630.429;101.919;1065
mobile;a-propos;3;53;100;96;100;2924.451;3812.126;0;1049.67;6438.548;5060.186;90.115;565
mobile;careers;3;75;100;96;100;2830.019;4746.544;0;0;4885.722;4579.704;84.956;1615
mobile;recrutement;3;68;100;96;100;2973.144;3557.497;0.003;669.518;4366.434;4871.868;142.911;734
mobile;contact;3;63;100;96;100;1892.162;2483.94;0;2886.48;5551.593;3760.717;94.347;1454
mobile;contact-fr;3;68;100;96;100;2892.596;12136.809;0;0;12136.809;4484.331;44.545;1275
mobile;customers;3;86;100;96;100;2807.124;3242.242;0;0;3268.349;4445.704;58.578;712
mobile;clients;3;86;100;96;100;2829.263;3252.271;0;0;3294.572;4481.23;92.128;1019
mobile;media;3;99;100;96;100;1636.402;1675.938;0;0;1917.641;2206.372;77.921;1875
mobile;medias;3;83;100;96;100;2866.543;3630.942;0;0;3683.442;4593.811;58.846;2197
mobile;legal-notice;3;86;100;96;100;2847;3147;0;0;3177;4635.51;78.094;1532
mobile;mentions-legales;2;84.5;100;96;100;3002.123;3439.252;0.003;0;3474.324;3889.84;110.73;774.5
mobile;privacy;3;89;100;96;100;2996.868;2996.868;0;0;2996.868;2996.868;93.045;631
mobile;confidentialite;3;89;100;96;100;1686.872;1752.057;0.013;410.5;2336.511;1948.425;68.364;1533
mobile;terms;3;83;100;96;100;2817.271;3674.68;0.001;0;3719.68;4370.905;47.899;1044
mobile;conditions;2;91;100;96;100;2242.958;2585.043;0.009;37.75;2715.84;3041.767;63.439;954
mobile;opt-out;3;82;100;96;100;2643.54;3661.586;0;0;3706.586;4471.378;60.312;1530
mobile;opposition;3;83;100;96;100;2902.199;3429.842;0;0;3465.764;4403.076;57.143;1022
desktop;home-en;2;78;100;93;96;1816.605;1823.135;0.002;57;2069.233;5718.731;887.407;1017.5
desktop;index-fr;3;55;100;93;92;1280.395;1405.414;0;332.754;4247.325;4169.394;257.119;899
desktop;our-solution;3;63;97;96;100;1100.457;2593.018;0.002;38.122;3204.646;2412.934;166.108;822
desktop;notre-solution;3;93;97;96;100;1119.726;1119.726;0.002;22.263;1298.436;1256.613;52.27;371
desktop;pricing;3;71;95;93;100;1104.057;1104.057;0;584.235;1817.665;1307.842;92.763;1246
desktop;tarifs;3;67;95;93;100;573.731;713.758;0.001;1314.5;2683.529;1698.569;59.546;1117
desktop;faq;3;98;100;96;100;900.099;925.621;0;0;963.472;1153.247;106.177;539
desktop;faq-fr;3;96;100;96;92;919.826;999.826;0.001;0.087;999.826;1368.306;136.457;1582
desktop;about;3;66;100;96;100;572.175;2067.898;0.002;836.349;2574.391;2024.172;87.652;1086
desktop;a-propos;3;64;100;96;92;1334.552;2009.284;0.027;1014.574;2454.471;1643;144.162;1283
desktop;careers;3;68;100;96;100;1835.429;1835.429;0;0.971;2480.706;1934.367;180.441;1150
desktop;recrutement;2;91.5;100;96;100;1246.186;1283.133;0.001;9.5;1301.557;1441.693;51.834;1151
desktop;contact;3;74;100;96;100;1075.592;1075.592;0;183.039;2411.109;1730.914;84.45;599
desktop;contact-fr;2;92;100;96;100;950.675;1627.932;0;0;1627.932;1135.036;45.662;1828
desktop;customers;3;96;100;96;100;905.395;905.395;0;111.038;1119.302;1015.792;165.732;1239
desktop;clients;2;97.5;100;96;100;742.094;787.67;0.001;52.981;820.575;1132.417;161.711;1721
desktop;media;2;97.5;100;96;100;906.727;918.559;0;0;919.742;962.858;52.694;1578
desktop;medias;3;97;100;96;100;855.329;975.204;0;0;975.204;1100.481;62.201;920
desktop;legal-notice;3;94;100;96;100;1050.693;1050.693;0;184;1060.677;1060.677;50.003;1082
desktop;mentions-legales;3;93;100;96;100;1254.755;1254.755;0.001;0;1254.755;1276.034;53.341;1542
desktop;privacy;3;97;100;96;100;795.66;836.802;0;57.537;1024.872;1162.228;118.495;1238
desktop;confidentialite;3;97;100;96;100;897.077;897.077;0.003;0;897.077;1058.577;83.901;1970
desktop;terms;3;92;100;96;100;899.578;899.578;0.008;221;1043.437;1059.765;106.293;1009
desktop;conditions;3;99;100;96;100;771.983;771.983;0.001;0;771.983;942.382;47.692;1407
desktop;opt-out;3;85;100;96;100;1008.127;1008.127;0;283;1378.089;1470.819;79.723;1243
desktop;opposition;3;90;100;96;100;1082.76;1082.76;0;166.894;1451.868;1248.213;61.93;1295
