pass;ff;slug;url;perf;a11y;bp;seo;fcp_ms;lcp_ms;cls;tbt_ms;tti_ms;si_ms;ttfb_ms;total_transfer_bytes;requests;benchmark_index;lh_total_ms;loadavg_avant;final_url;run_warnings;runtime_error;json;perturbe
1;desktop;a-propos;https://www.syntheticswarm.ai/a-propos;45;100;96;92;2009.284;2009.284;0.027;1014.574;3491.408;5610.385;296.524;2101819;19;306;69239;42.73/44.74/33.18;https://www.syntheticswarm.ai/a-propos;;;a-propos-desktop-p1.json;
2;desktop;a-propos;https://www.syntheticswarm.ai/a-propos;81;100;96;100;1334.552;2452.063;0.003;0;2454.471;1643;85.48;2101818;19;1898;17899;16.78/22.20/26.91;https://www.syntheticswarm.ai/a-propos;;;a-propos-desktop-p2.json;
3;desktop;a-propos;https://www.syntheticswarm.ai/a-propos;64;100;96;92;1142.983;1142.983;0.027;1123;2418.052;1640.74;144.162;2101820;19;1283;32569;28.67/31.08/33.01;https://www.syntheticswarm.ai/a-propos;;;a-propos-desktop-p3.json;
1;mobile;a-propos;https://www.syntheticswarm.ai/a-propos;53;100;96;100;2718.615;2718.615;0.006;3055.133;6438.548;18284.248;261.909;2101820;19;565;72921;45.47/45.60/32.38;https://www.syntheticswarm.ai/a-propos;;;a-propos-mobile-p1.json;
2;mobile;a-propos;https://www.syntheticswarm.ai/a-propos;49;100;96;100;3016.235;12193.455;0;691.429;12223.6;4914.175;90.115;2101818;19;1398;17799;16.24/22.50/27.11;https://www.syntheticswarm.ai/a-propos;;;a-propos-mobile-p2.json;
3;mobile;a-propos;https://www.syntheticswarm.ai/a-propos;58;100;96;100;2924.451;3812.126;0;1049.67;4223.268;5060.186;59.163;2101819;19;497;28367;28.89/31.35/33.15;https://www.syntheticswarm.ai/a-propos;;;a-propos-mobile-p3.json;
1;desktop;about;https://www.syntheticswarm.ai/about;34;100;96;92;3430.439;3430.439;0.002;836.349;4840.438;12135.659;1400.03;2101504;19;768;105474;48.91/45.34/30.62;https://www.syntheticswarm.ai/about;;;about-desktop-p1.json;
2;desktop;about;https://www.syntheticswarm.ai/about;87;100;96;100;572.175;2067.898;0.002;131;2067.898;1102.174;87.652;2101517;19;1086;17380;21.10/24.56/28.09;https://www.syntheticswarm.ai/about;;;about-desktop-p2.json;
3;desktop;about;https://www.syntheticswarm.ai/about;66;100;96;100;546.96;694.023;0.002;1600.5;2574.391;2024.172;62.374;2101517;19;1693;30216;26.35/31.29/33.20;https://www.syntheticswarm.ai/about;;;about-desktop-p3.json;
1;mobile;about;https://www.syntheticswarm.ai/about;45;100;96;92;5867.374;5867.374;0.018;563.799;6627.173;29111.191;2743.727;2101517;19;596;81330;50.96/44.27/28.80;https://www.syntheticswarm.ai/about;;;about-mobile-p1.json;
2;mobile;about;https://www.syntheticswarm.ai/about;81;100;96;100;2816.828;3867.964;0.018;0;3912.964;4630.429;101.919;2101514;19;1065;15325;22.51/24.98/28.28;https://www.syntheticswarm.ai/about;;;about-mobile-p2.json;
3;mobile;about;https://www.syntheticswarm.ai/about;71;100;96;100;1589.371;1874.251;0.018;2110.755;4040.326;2789.286;54.873;2101517;19;1078;28710;27.28/31.99/33.49;https://www.syntheticswarm.ai/about;;;about-mobile-p3.json;
1;desktop;careers;https://www.syntheticswarm.ai/careers;68;100;96;92;2480.706;2480.706;0;0;2480.706;8727.847;963.798;2323354;20;820;71152;46.34/45.03/34.93;https://www.syntheticswarm.ai/careers;;;careers-desktop-p1.json;
2;desktop;careers;https://www.syntheticswarm.ai/careers;98;100;96;100;863.27;863.27;0;0.971;902.163;1037.797;45.186;2323366;20;2063;22217;18.36/21.99/26.66;https://www.syntheticswarm.ai/careers;;;careers-desktop-p2.json;
3;desktop;careers;https://www.syntheticswarm.ai/careers;55;100;96;100;1835.429;1835.429;0;900.518;2887.397;1934.367;180.441;2323365;20;1150;32199;27.57/30.26/32.59;https://www.syntheticswarm.ai/careers;;;careers-desktop-p3.json;
1;mobile;careers;https://www.syntheticswarm.ai/careers;52;100;96;92;2707.629;2707.629;0;10399.393;13672.472;22067.932;1300.235;2323366;20;476;68206;43.58/44.43/33.96;https://www.syntheticswarm.ai/careers;;;careers-mobile-p1.json;
2;mobile;careers;https://www.syntheticswarm.ai/careers;75;100;96;100;2919.945;4746.544;0;0;4851.544;4579.704;44.494;2323365;20;2087;17341;17.88/22.10/26.77;https://www.syntheticswarm.ai/careers;;;careers-mobile-p2.json;
3;mobile;careers;https://www.syntheticswarm.ai/careers;75;100;96;100;2830.019;4779.965;0;0;4885.722;4570.236;84.956;2323354;20;1615;24325;28.30/30.71/32.81;https://www.syntheticswarm.ai/careers;;;careers-mobile-p3.json;
1;desktop;clients;https://www.syntheticswarm.ai/clients;94;100;93;100;1084.321;1084.321;0.001;0;1084.321;1672.615;77.759;2072989;18;1614;32417;22.78/35.69/34.80;https://www.syntheticswarm.ai/clients;;;clients-desktop-p1.json;oui
2;desktop;clients;https://www.syntheticswarm.ai/clients;98;100;96;100;555.23;646.382;0;105.961;712.191;939.178;53.321;2073942;18;1897;14074;20.10/21.57/25.71;https://www.syntheticswarm.ai/clients;;;clients-desktop-p2.json;
3;desktop;clients;https://www.syntheticswarm.ai/clients;97;100;96;100;928.958;928.958;0.001;0;928.958;1325.655;270.101;2073945;18;1545;26005;25.09/28.00/30.94;https://www.syntheticswarm.ai/clients;;;clients-desktop-p3.json;
1;mobile;clients;https://www.syntheticswarm.ai/clients;82;100;96;100;2919.397;3664.1;0;0;3709.1;4567.85;60.051;2073931;18;1642;18125;22.22/36.50/35.04;https://www.syntheticswarm.ai/clients;;;clients-mobile-p1.json;
2;mobile;clients;https://www.syntheticswarm.ai/clients;91;100;96;100;1650.653;2604.334;0;263.397;2604.334;2016.85;92.128;2073945;18;1019;12221;20.15/21.66/25.81;https://www.syntheticswarm.ai/clients;;;clients-mobile-p2.json;
3;mobile;clients;https://www.syntheticswarm.ai/clients;86;100;96;100;2829.263;3252.271;0;0;3294.572;4481.23;96.974;2073945;18;881;15371;26.10/28.37/31.12;https://www.syntheticswarm.ai/clients;;;clients-mobile-p3.json;
1;desktop;conditions;https://www.syntheticswarm.ai/conditions;94;100;96;100;1137.69;1137.69;0.001;0;1155.911;1345.472;47.692;2071999;16;1072;29745;29.53/29.27/31.73;https://www.syntheticswarm.ai/conditions;;;conditions-desktop-p1.json;
2;desktop;conditions;https://www.syntheticswarm.ai/conditions;100;100;96;100;471.031;471.031;0.001;63.5;704.226;886.862;45.99;2072001;16;1407;17539;20.33/21.80/25.94;https://www.syntheticswarm.ai/conditions;;;conditions-desktop-p2.json;
3;desktop;conditions;https://www.syntheticswarm.ai/conditions;99;100;96;100;771.983;771.983;0.001;0;771.983;942.382;55.679;2071998;16;1667;16438;25.55/26.03/28.92;https://www.syntheticswarm.ai/conditions;;;conditions-desktop-p3.json;
1;mobile;conditions;https://www.syntheticswarm.ai/conditions;91;100;93;100;1692.137;2424.058;0.017;264;2424.058;2941.758;84.425;2069322;16;1292;74871;26.75/29.05/31.88;https://www.syntheticswarm.ai/conditions;;;conditions-mobile-p1.json;oui
2;mobile;conditions;https://www.syntheticswarm.ai/conditions;83;100;96;100;2877.217;3561.388;0;0;3607.362;4474.835;51.774;2071999;16;1537;14404;20.68/21.94/26.08;https://www.syntheticswarm.ai/conditions;;;conditions-mobile-p2.json;
